gene,t_stat,p_value,log2FC,p_adj
NDUFB11,-11.591361638400498,9.886969029977227e-29,-0.4393902751322667,3.814323782374326e-28
DCAF12L2,11.545464074608049,9.949727721350826e-29,0.9844633167989425,3.837574091323614e-28
ABHD6,11.663211972320642,1.047960562102347e-28,0.61498788492064,4.040933827871234e-28
WDR11,11.53588981970359,1.052750848010391e-28,0.35796081812168445,4.05838878488132e-28
MPL,11.689651986902906,1.0744538410954237e-28,0.6171482546296212,4.141017719986543e-28
SENP7,11.56472833387686,1.080823181264634e-28,0.4576396428571492,4.164523153636528e-28
HRSP12,-11.527119002426943,1.0881304864555077e-28,-0.4908436402116436,4.191629997486978e-28
NHP2,-11.615901812919455,1.0916514855922248e-28,-0.4407874543650898,4.204141551691717e-28
BAIAP2L1,-11.64049258583392,1.1102242651548051e-28,-0.5937446884920572,4.274599402497758e-28
DNAH14,-11.826730494500591,1.1273658290205522e-28,-0.7889656779100562,4.33951291735736e-28
PAR5,11.661682929103172,1.153276272689541e-28,1.2193285515872936,4.438139157860751e-28
ZIK1,11.426894590680751,1.1694555342977727e-28,0.8622606302910087,4.4992770768572735e-28
RNLS,11.439456022372728,1.261969616680927e-28,0.5923470879629722,4.85399604997158e-28
SMC1B,-11.422230974312848,1.2733858002300055e-28,-1.2295828591269888,4.896683607927421e-28
HLX,11.612153747421054,1.2836604295513159e-28,0.6308237242063539,4.934961206941726e-28
CHRNA7,11.599625735232769,1.3872502548590467e-28,0.804569936507936,5.33187523067018e-28
PCDHB13,11.423985018662728,1.4115320231308236e-28,0.7139936130952478,5.423847906200472e-28
C6orf217,11.480577241132552,1.419534134693663e-28,0.7554645972222205,5.453235297374833e-28
PTPRS,11.45786815372731,1.4241574986635213e-28,0.6209716613756608,5.469631580674044e-28
ZSCAN12P1,-11.535087212924648,1.4508767499250666e-28,-0.6867639047619054,5.57086017920106e-28
AADAC,11.938853882935017,1.4553049773651446e-28,1.76914776058201,5.586469891920003e-28
KCTD8,11.77326973502422,1.5188409275033181e-28,0.7152017876984134,5.828911705076917e-28
PLXDC2,11.396828412936433,1.520737432061303e-28,0.5906145601851751,5.834735669436303e-28
FLJ36777,11.484886132296163,1.5371945940946145e-28,0.682063630291001,5.896408860307618e-28
SERINC1,11.504927297070752,1.5448778375996818e-28,0.43557852447090184,5.924404499507422e-28
COX6B2,11.56173180614095,1.5605973988257328e-28,1.2078343366402104,5.983196750428239e-28
C9orf130,11.496972887746365,1.5721165189801145e-28,0.5946944576719595,6.025859607352955e-28
RADIL,11.401039313858735,1.5957025740538892e-28,0.8642334933862417,6.114741795098987e-28
CMKLR1,11.544287630374948,1.6086735507584806e-28,0.7072090892857155,6.162912829317821e-28
USP14,-11.511530022609284,1.6631728726444948e-28,-0.42936528505292415,6.370117592066489e-28
REV3L,11.579749022541554,1.6751890724003184e-28,0.6088757718254083,6.414545174769387e-28
TRIM37,-11.409662362415732,1.690688011745975e-28,-0.4209455972222109,6.472283271221477e-28
PKM2,-11.641066272035753,1.7551717279726925e-28,-0.46954828637564816,6.717469325278534e-28
BBS9,11.40084399666055,1.777258405072495e-28,0.32354611375662046,6.8003100553929435e-28
GXYLT2,11.451369516570313,1.7797252493939452e-28,0.9011910912698413,6.8080570596071e-28
C12orf39,11.93097824851419,1.7973369805414231e-28,1.7790940813492044,6.873720191106878e-28
CTTNBP2NL,11.44749831771514,1.811928097465539e-28,0.3814261997354311,6.927564006209937e-28
C1orf21,11.356950563603386,1.8123158938113676e-28,0.6611565945767222,6.927564006209937e-28
LRP10,11.37213002598239,1.8167851261165827e-28,0.3281982956349143,6.942923948080672e-28
KIFC2,-11.615282528300817,1.8285891474226974e-28,-0.8836779629629561,6.986299529247462e-28
RHOQ,11.739658359474141,1.8545617913133342e-28,0.5989812526455065,7.083772736504939e-28
CSF2RA,11.472408969189093,1.873164831314706e-28,0.7255122321428535,7.153055284660846e-28
VAT1L,11.604669909837563,1.9426619437961756e-28,1.0495621832010622,7.416604500032163e-28
FAM20C,11.40709349627532,1.9576953215388895e-28,0.5951035205026702,7.472145479854805e-28
LOC100124692,11.64880985394311,1.9836697136013412e-28,1.6739849675925906,7.569408322260186e-28
FZD8,11.366014292934713,2.0373120709576158e-28,0.7235246521164118,7.772173923819229e-28
VARS,-11.474197703318676,2.0782162328326985e-28,-0.38035497949735664,7.926255966540763e-28
SLC6A2,11.506118792428593,2.085858106165592e-28,1.2982149206349152,7.953431713876081e-28
GPR15,11.729385139390724,2.1999521885048608e-28,1.1708042506613747,8.386398575491295e-28
BAHCC1,11.34113767101225,2.200545737183985e-28,0.6304149338624292,8.386584830549954e-28
