gene,t_stat,p_value,log2FC,p_adj
HSPA1A,-2.081339851078196,0.038127248202942374,-0.1429794114588674,0.04667971982270577
PPP1R2P3,-2.0814685230483168,0.03813020953498542,-0.10213898738345684,0.04667971982270577
C20orf56,2.0822169245159916,0.03815458429982229,0.12406551072753116,0.046705846276384466
HSD3B2,-2.0808039004111736,0.03817471429651761,-0.3021281177428856,0.04672677287729403
ORAOV1,-2.0778765726353434,0.0382357231224618,-0.10266311826279129,0.04679772884869191
OVOL1,-2.080787712657413,0.03826269261123727,-0.24612718883226758,0.046827015192371056
FKBP9L,2.079091707615874,0.03844831708855811,0.15483773439396487,0.0470504481173525
WNT2,2.076974644839717,0.038521170665339714,0.24575709074209584,0.04713585510086908
NR2C1,-2.0765431604587237,0.03852528666803494,-0.08495186648643305,0.04713714548853575
C5orf13,2.076219384983088,0.03865004551546751,0.14970555959932064,0.04728603502595576
GAS2L1,2.075252800642513,0.038773073606117515,0.11799638054140438,0.04743278359394497
MED25,-2.0736563119468796,0.038794506283464356,-0.09371920903953779,0.04745523264054189
OAS3,2.0706194638297353,0.039139587770358544,0.19280198519980196,0.04787354884812604
CPXM2,-2.070996918151916,0.039143914230150165,-0.23282749124813407,0.047875037524952105
C5orf56,-2.071708819139001,0.039147345766194774,-0.1581262261273304,0.04787543151406679
PTPRO,2.0699826687340956,0.03925827909055741,0.18903980537936604,0.04800728481910193
PCDHGB4,-2.068220311043179,0.039387894724466715,-0.30127870524418476,0.04816196117158625
MFSD10,2.068267471291437,0.03940458187991778,0.1284324798100407,0.04817853944295196
BGLAP,2.0675333716613076,0.03952079584602209,0.1649084867075672,0.04831679320638416
ERICH1,2.0677495947276467,0.03953134353927954,0.12380303628990852,0.04832585124845472
RIMKLB,-2.066111961688379,0.03968874137666279,-0.13766240598246782,0.048514413383334155
PRKAB2,2.063177256780935,0.03991197051505482,0.113870384042146,0.04878340954356585
MRGPRE,2.0631249838342924,0.03993341917299123,0.21790706128037107,0.04880575131025131
MSRA,2.0608473648628527,0.0399980267994742,0.13266537295067327,0.04888083329085676
XAGE3,2.0645327908617914,0.04000728141801706,0.1717978527607362,0.04888826285660386
LOC158696,-2.0614715070294913,0.04003132473182652,-0.20268894232435386,0.04891376135988675
PLD2,2.060550967569929,0.04010952929399007,0.09522828238188197,0.04900542949845779
STX11,2.059414185687736,0.04015358269916572,0.17554717167515577,0.04905536085210304
ABO,-2.0583538805038417,0.04031354970830091,-0.2816322025233111,0.049246883914527854
DHRS9,-2.0577867479123615,0.040367936310433956,-0.2625241438771573,0.04930941018419291
FAM18B,-2.0577122487904362,0.040420841963417206,-0.1007449013899091,0.04937011769877318
SIGLEC11,2.0565055583970127,0.040502208599104375,0.19796353072683992,0.04946557514082733
AGBL3,2.054943112993717,0.04059606780444602,0.136713550656824,0.04957627347597204
LST-3TM12,-2.0523195589167265,0.04075136630896417,-0.20275118453433172,0.049761978512104156
CAND1,-2.0538691940214235,0.040769168586487346,-0.09646862067174133,0.04977976912974986
LMAN2,-2.053552103829671,0.04078496631506882,-0.10217203736439551,0.04979503242476945
KRTAP5-7,-2.0535126295654944,0.04078813723070678,-0.09915955166198759,0.04979503242476945
NLRC3,2.0545126095563067,0.04081512274555842,0.1781755311774207,0.0498240263944631
ILDR2,-2.050817237670123,0.04109426135293713,-0.18498377092648388,0.05016080086024838
ZNF550,-2.0492727578413326,0.04118258274171568,-0.1081170782641836,0.05026462358099059
ANKRD36,2.048857186931346,0.041233794310449726,0.12738032303906,0.050323139743024284
CAMK2N2,2.0450620752109154,0.04150641696653108,0.2131033707670369,0.05065184291302838
RILPL1,-2.0462817693253585,0.041528712615486095,-0.09275691137222175,0.05067503472346167
PHACTR1,2.044876748134251,0.04168874893211004,0.18753634189456303,0.05086628633867171
RAB38,-2.0428365332441976,0.041705245333840936,-0.22551368496758517,0.050882382124021304
PON3,2.0419141567060137,0.04181803021878826,0.39087166649335536,0.05101594257813825
ZNF716,2.043780169569202,0.041854888431854934,0.22087600256490209,0.05105686239781892
ABCA7,-2.0430899867551586,0.04188638033845219,-0.15806204724272988,0.05109123014110341
HIP1R,2.042872067886668,0.041946944527564846,0.13094670721985224,0.0511610507676581
GRIK2,-2.041304072487021,0.042077183695212184,-0.244119853731247,0.0513158334538758
LILRB5,2.0376838102093604,0.042250206500352105,0.24285665401546908,0.051522764888794655
HOXA2,-2.037009387321667,0.04236768832808149,-0.22596246057329195,0.05166193848004044
AURKC,-2.0365617378784613,0.04248120099806156,-0.17145372777372936,0.051796250535884845
LRRFIP2,2.034773690032653,0.042670437878386556,0.09615418183078717,0.05202286261885484
KLHL30,2.034998290280586,0.04270243011113662,0.27305062649475076,0.052057744768105346
SYT10,-2.0324342353491303,0.042779497944448276,-0.14972167082596788,0.05214756787670573
AKAP13,-2.031887357602438,0.042993136720478296,-0.10572602162837441,0.05240384152036133
PPP4R2,-2.031062565958994,0.043032968704050836,-0.1392915947454103,0.05244824025459279
UGT1A7,2.0314178327355883,0.04309004817275743,0.264054479914041,0.052513651394328495
FLI1,-2.030332053765628,0.043126415060903,-0.15145725971369828,0.05255381184746526
C8orf45,2.0281287838460593,0.04325262972806383,0.1629954109043057,0.052703445704574144
C2orf43,-2.0288474319946923,0.043371914446849215,-0.14021846556444828,0.052844612387286334
ATM,-2.0275726043076867,0.0433753511369487,-0.12046585993553727,0.05284461793445159
COX8A,2.027301282089467,0.043389265544347126,0.10573105871545962,0.05285738757704824
FBXO41,2.026586560258771,0.04350341970748556,0.15165093844234612,0.052992258958556575
ZNF514,-2.0260331603548574,0.04358887078920075,-0.10600989913694558,0.053092148053265086
ADAMTS14,2.0200710493979104,0.04386983582154562,0.19484689785449927,0.05343014255215456
HOXA6,-2.022433917732375,0.04388089963296722,-0.2331446518318252,0.05343939030679398
ZNF581,-2.0181276021717163,0.04429663711070736,-0.09827168209073989,0.053941420562603704
RPL7A,-2.018992330313903,0.04430496460709839,-0.09939274808497878,0.05394729458722767
RAP1GAP2,2.018467816489039,0.044387332684486726,0.18320474940209763,0.0540433149883791
PRMT7,-2.01632284577842,0.04454026199841357,-0.08431323957574932,0.05422522447928946
LOC100132247,-2.0158522783356685,0.04457707767100568,-0.14232538213580348,0.05426575465690026
CD200,-2.015495247122529,0.04461587566588376,-0.15076682697307842,0.05430869140861825
SLC37A2,-2.014958400768057,0.04464497559473303,-0.16845907334234322,0.05433981733060115
